Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013
Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013
Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,36,26,2009
Nissan,200SX,1996,regular unleaded,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,21,2009
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009
Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870
Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586
BMW,3 Series Gran Turismo,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916
BMW,3 Series Gran Turismo,2017,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916
BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23,3916
BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,30,20,3916
BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,22,3916
BMW,3 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22,3916
BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,23,3916
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,40,30,3916
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,20,15,617
Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,18,15,617
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,19,15,617
Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,15,617
Mercedes-Benz,300-Class,1993,regular unleaded,228,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,21,14,617
Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,17,617
Mitsubishi,3000GT,1998,regular unleaded,161,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17,436
Mitsubishi,3000GT,1998,regular unleaded,218,6,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,17,436
Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19,1013
Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18,1013
Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19,1013
Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,N/A,Large,Sedan,31,19,1013
Chrysler,300,2017,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18,1013
Chrysler,300,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,N/A,Large,Sedan,30,19,1013
Chrysler,300M,2004,premium unleaded (required),255,6,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,25,16,1013
Nissan,300ZX,1994,regular unleaded,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,22,16,2009
Nissan,300ZX,1996,regular unleaded,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,17,2009
Nissan,300ZX,1996,regular unleaded,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,22,17,2009
Mercedes-Benz,350-Class,1991,diesel,134,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,23,19,617
Mercedes-Benz,350-Class,1991,diesel,134,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,23,19,617
Nissan,350Z,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,25,18,2009
Nissan,350Z,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Coupe,24,17,2009
Nissan,350Z,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Convertible,23,17,2009
Nissan,350Z,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,24,17,2009
Nissan,350Z,2009,regular unleaded,306,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,24,17,2009
Nissan,350Z,2009,regular unleaded,306,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,24,17,2009
Ferrari,360,2003,premium unleaded (required),400,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,15,10,2774
Ferrari,360,2003,premium unleaded (required),400,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,15,10,2774
Nissan,370Z,2015,premium unleaded (required),332,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,24,17,2009
Nissan,370Z,2015,premium unleaded (required),332,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,26,18,2009
Nissan,370Z,2015,premium unleaded (required),332,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,24,17,2009
Nissan,370Z,2015,premium unleaded (required),332,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Coupe,26,19,2009
Nissan,370Z,2016,premium unleaded (required),332,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Coupe,26,19,2009
Nissan,370Z,2016,premium unleaded (required),350,6,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Compact,Coupe,26,18,2009
Nissan,370Z,2016,premium unleaded (required),332,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Coupe,26,19,2009
Nissan,370Z,2016,premium unleaded (required),332,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,26,18,2009
Nissan,370Z,2017,premium unleaded (required),332,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,26,18,2009
Nissan,370Z,2017,premium unleaded (required),332,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,24,17,2009
Mazda,3,2015,regular unleaded,184,4,MANUAL,front wheel drive,4,Performance,Compact,Sedan,37,25,586
Mazda,3,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Performance,Compact,Sedan,39,28,586
Mazda,3,2015,regular unleaded,155,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,41,30,586
Mazda,3,2015,regular unleaded,155,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,29,586
Mazda,3,2015,regular unleaded,155,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,41,29,586
Mazda,3,2015,regular unleaded,155,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,41,30,586
Mazda,3,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,37,27,586
Mazda,3,2016,regular unleaded,184,4,MANUAL,front wheel drive,4,Performance,Compact,Sedan,37,25,586
Mazda,3,2017,regular unleaded,155,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,37,28,586
Mazda,3,2017,regular unleaded,155,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,37,27,586
Mazda,3,2017,regular unleaded,155,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,28,586
Mazda,3,2017,regular unleaded,184,4,MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,586
BMW,4 Series Gran Coupe,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,30,20,3916
BMW,4 Series Gran Coupe,2016,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,20,3916
BMW,4 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Coupe,33,22,3916
BMW,4 Series,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Convertible,34,23,3916
BMW,4 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Convertible,34,23,3916
BMW,4 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,34,22,3916
BMW,4 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,31,21,3916
BMW,4 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,33,23,3916
Mercedes-Benz,420-Class,1990,regular unleaded,201,8,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,17,14,617
Mercedes-Benz,420-Class,1991,regular unleaded,201,8,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,17,14,617
Ferrari,458 Italia,2014,premium unleaded (required),562,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,13,2774
Ferrari,458 Italia,2014,premium unleaded (required),597,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,13,2774
Alfa Romeo,4C,2016,premium unleaded (required),237,4,AUTOMATED_MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,34,24,113
Toyota,4Runner,2014,regular unleaded,270,6,AUTOMATIC,rear wheel drive,4,N/A,Midsize,4dr SUV,23,17,2031
Toyota,4Runner,2015,regular unleaded,270,6,AUTOMATIC,four wheel drive,4,N/A,Midsize,4dr SUV,21,17,2031
Toyota,4Runner,2015,regular unleaded,270,6,AUTOMATIC,four wheel drive,4,N/A,Midsize,4dr SUV,21,17,2031
Toyota,4Runner,2016,regular unleaded,270,6,AUTOMATIC,four wheel drive,4,N/A,Midsize,4dr SUV,21,17,2031
Toyota,4Runner,2016,regular unleaded,270,6,AUTOMATIC,four wheel drive,4,N/A,Midsize,4dr SUV,21,17,2031
BMW,5 Series Gran Turismo,2015,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,4,"Hatchback,Luxury,Performance",Large,4dr Hatchback,25,16,3916
BMW,5 Series Gran Turismo,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Large,4dr Hatchback,26,18,3916
BMW,5 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Large,Sedan,33,22,3916
BMW,5 Series,2015,diesel,255,6,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Large,Sedan,37,26,3916
BMW,5 Series,2016,premium unleaded (required),443,8,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,16,3916
BMW,5 Series,2016,premium unleaded (required),443,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,17,3916
Mercedes-Benz,500-Class,1993,regular unleaded,315,8,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,16,12,617
FIAT,500e,2015,electric,,0,DIRECT_DRIVE,front wheel drive,2,Hatchback,Compact,2dr Hatchback,108,122,819
FIAT,500,2015,premium unleaded (recommended),101,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,40,31,819
FIAT,500,2015,premium unleaded (recommended),101,4,MANUAL,front wheel drive,2,N/A,Compact,Convertible,34,28,819
FIAT,500,2016,premium unleaded (recommended),101,4,MANUAL,front wheel drive,2,N/A,Compact,Convertible,40,31,819
FIAT,500,2016,premium unleaded (recommended),101,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,40,31,819
FIAT,500,2017,premium unleaded (recommended),160,4,MANUAL,front wheel drive,2,"Factory Tuner,Performance",Compact,Convertible,33,28,819
FIAT,500,2017,premium unleaded (recommended),101,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,27,819
FIAT,500L,2016,premium unleaded (recommended),160,4,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,25,819
FIAT,500L,2016,premium unleaded (recommended),160,4,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,25,819
FIAT,500X,2016,regular unleaded,180,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,21,819
FIAT,500X,2016,premium unleaded (recommended),160,4,MANUAL,front wheel drive,4,Crossover,Compact,4dr SUV,34,25,819
Ferrari,550,2001,premium unleaded (required),485,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,12,8,2774
Ferrari,550,2001,premium unleaded (required),485,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,12,8,2774
Ferrari,575M,2003,premium unleaded (required),515,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,16,9,2774
Ferrari,575M,2004,premium unleaded (required),515,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,16,9,2774
Ferrari,599,2009,premium unleaded (required),611,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,15,11,2774
Ferrari,599,2009,premium unleaded (required),611,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,15,11,2774
Mazda,5,2014,regular unleaded,157,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Passenger Minivan,28,22,586
Mazda,5,2014,regular unleaded,157,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Passenger Minivan,28,22,586
BMW,6 Series Gran Coupe,2016,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,24,15,3916
BMW,6 Series Gran Coupe,2016,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,29,20,3916
BMW,6 Series,2015,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,29,20,3916
BMW,6 Series,2015,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,32,21,3916
BMW,6 Series,2016,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,29,20,3916
BMW,6 Series,2016,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,31,20,3916
BMW,6 Series,2017,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,24,17,3916
BMW,6 Series,2017,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,24,15,3916
Pontiac,6000,1990,regular unleaded,140,6,AUTOMATIC,all wheel drive,4,N/A,Midsize,Sedan,27,17,210
Pontiac,6000,1991,regular unleaded,140,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Wagon,28,17,210
Mazda,626,2000,regular unleaded,130,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,25,19,586
Mazda,626,2001,premium unleaded (required),165,6,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,25,19,586
Maybach,62,2010,premium unleaded (required),631,12,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury,High-Performance",Large,Sedan,16,10,67
Maybach,62,2011,premium unleaded (required),543,12,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury",Large,Sedan,16,10,67
Mazda,6,2015,regular unleaded,184,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,37,25,586
Mazda,6,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,40,28,586
Mazda,6,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,35,26,586
Mazda,6,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,35,26,586
BMW,7 Series,2015,diesel,255,6,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Large,Sedan,31,23,3916
BMW,7 Series,2016,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,17,3916
Volvo,740,1990,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870
Volvo,740,1990,regular unleaded,153,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870
Volvo,740,1991,regular unleaded,162,4,MANUAL,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,18,870
Volvo,740,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,24,18,870
Volvo,780,1990,regular unleaded,144,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,19,15,870
BMW,8 Series,1995,regular unleaded,282,8,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,22,15,3916
Audi,80,1991,regular unleaded,130,5,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105
Audi,80,1991,regular unleaded,130,5,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,16,3105
Volvo,850,1995,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Wagon,26,18,870
Volvo,850,1995,regular unleaded,240,5,AUTOMATIC,front wheel drive,4,"Factory Tuner,Luxury,Performance",Midsize,Wagon,24,17,870
Volvo,850,1996,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,26,18,870
Volvo,850,1996,regular unleaded,168,5,MANUAL,front wheel drive,4,Luxury,Midsize,Wagon,26,18,870
Toyota,86,2017,premium unleaded (recommended),205,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,28,21,2031
Toyota,86,2017,premium unleaded (recommended),200,4,AUTOMATIC,rear wheel drive,2,Performance,Compact,Coupe,32,24,2031
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,MANUAL,front wheel drive,2,"Flex Fuel,Luxury",Compact,Convertible,33,20,376
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,MANUAL,front wheel drive,4,"Flex Fuel,Luxury",Midsize,Sedan,33,20,376
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220,4,AUTOMATIC,front wheel drive,4,"Flex Fuel,Luxury",Midsize,Sedan,29,19,376
Saab,9-3 Griffin,2012,premium unleaded (recommended),220,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,29,18,376
Saab,9ŒŽ3“ú,2009,premium unleaded (recommended),280,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,15,376
Saab,9ŒŽ3“ú,2009,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Luxury,Compact,Wagon,29,19,376
Saab,9ŒŽ3“ú,2010,premium unleaded (recommended),207,4,MANUAL,front wheel drive,4,Luxury,Compact,Wagon,31,21,376
Saab,9ŒŽ3“ú,2010,premium unleaded (recommended),207,4,MANUAL,front wheel drive,2,Luxury,Compact,Convertible,29,20,376
Saab,9ŒŽ3“ú,2011,premium unleaded (recommended),210,4,MANUAL,front wheel drive,2,Luxury,Compact,Convertible,29,20,376
Saab,9ŒŽ3“ú,2011,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Luxury,Compact,Wagon,31,21,376
Saab,9-4X,2011,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,22,15,376
Saab,9ŒŽ5“ú,2009,premium unleaded (recommended),260,4,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,27,17,376
Saab,9ŒŽ5“ú,2011,premium unleaded (recommended),220,4,AUTOMATIC,front wheel drive,4,Luxury,Large,Sedan,28,18,376
Saab,9ŒŽ5“ú,2011,premium unleaded (recommended),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,27,17,376
Saab,9000,1996,regular unleaded,225,4,MANUAL,front wheel drive,4,"Hatchback,Factory Tuner,Luxury,Performance",Midsize,4dr Hatchback,25,18,376
Saab,9000,1996,regular unleaded,210,6,AUTOMATIC,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,24,16,376
Saab,900,1996,regular unleaded,185,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,26,18,376
Saab,900,1996,regular unleaded,185,4,MANUAL,front wheel drive,4,"Hatchback,Luxury,Performance",Compact,4dr Hatchback,23,15,376
Saab,900,1997,regular unleaded,150,4,MANUAL,front wheel drive,2,Luxury,Compact,Convertible,26,18,376
Saab,900,1997,regular unleaded,150,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,26,18,376
Saab,900,1998,regular unleaded,185,4,MANUAL,front wheel drive,4,"Hatchback,Luxury,Performance",Compact,4dr Hatchback,24,18,376
Saab,900,1998,regular unleaded,185,4,MANUAL,front wheel drive,2,"Luxury,Performance",Compact,Convertible,25,18,376
Audi,90,1995,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,17,3105
Audi,90,1995,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,17,3105
Porsche,911,2015,premium unleaded (required),350,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,27,19,1715
Porsche,911,2015,premium unleaded (required),350,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,27,19,1715
Porsche,911,2015,premium unleaded (required),400,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,18,1715
Porsche,911,2016,premium unleaded (required),350,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,26,19,1715
Porsche,911,2016,premium unleaded (required),350,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,26,19,1715
Porsche,911,2016,premium unleaded (required),350,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,18,1715
Porsche,911,2016,premium unleaded (required),400,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Convertible,26,18,1715
Porsche,911,2016,premium unleaded (required),350,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,27,19,1715
Porsche,911,2017,premium unleaded (required),420,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28,20,1715
Porsche,911,2017,premium unleaded (required),420,6,MANUAL,all wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28,20,1715
Porsche,928,1993,regular unleaded,345,8,MANUAL,rear wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,17,11,1715
Porsche,928,1994,regular unleaded,345,8,MANUAL,rear wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,17,11,1715
Volvo,940,1993,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,25,17,870
Volvo,940,1993,regular unleaded,162,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,22,17,870
Porsche,944,1990,regular unleaded,208,4,MANUAL,rear wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,24,15,1715
Porsche,944,1990,regular unleaded,208,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,24,15,1715
Porsche,968,1993,regular unleaded,236,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,24,15,1715
Porsche,968,1993,regular unleaded,236,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,24,15,1715
Audi,A3,2015,premium unleaded (recommended),170,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,33,23,3105
Audi,A3,2015,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,all wheel drive,4,Luxury,Compact,Sedan,33,24,3105
Audi,A3,2015,premium unleaded (recommended),170,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,33,23,3105
Audi,A3,2016,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,all wheel drive,4,Luxury,Compact,Sedan,33,24,3105
Audi,A3,2016,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,all wheel drive,2,Luxury,Compact,Convertible,32,23,3105
Audi,A3,2016,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,"Diesel,Luxury",Compact,Sedan,43,31,3105
